repo_name,intent_type,chunks_assembled,tokens_used,budget_fill_pct,time_ms
pallets/jinja,feature_dev,1,117,1.4625000000000001,140
pallets/jinja,bug_fix,6,1212,15.15,378
pallets/jinja,refactor,1,176,2.1999999999999997,157
pallets/jinja,analysis,3,420,5.25,227
falconry/falcon,feature_dev,2,276,3.45,189
falconry/falcon,bug_fix,6,1014,12.675,400
falconry/falcon,refactor,1,127,1.5875,140
falconry/falcon,analysis,3,675,8.4375,243
tornadoweb/tornado,feature_dev,5,1170,14.625,349
tornadoweb/tornado,bug_fix,1,104,1.3,151
tornadoweb/tornado,refactor,4,664,8.3,309
tornadoweb/tornado,analysis,1,162,2.025,149
psf/requests,feature_dev,4,860,10.75,285
psf/requests,bug_fix,1,159,1.9875,174
psf/requests,refactor,4,616,7.7,303
psf/requests,analysis,4,616,7.7,285
pallets/flask,feature_dev,6,1134,14.174999999999999,408
pallets/flask,bug_fix,7,1176,14.7,464
pallets/flask,refactor,4,780,9.75,278
pallets/flask,analysis,7,861,10.7625,444
pyramid/pyramid,feature_dev,6,1008,12.6,396
pyramid/pyramid,bug_fix,1,168,2.1,168
pyramid/pyramid,refactor,5,515,6.4375,353
pyramid/pyramid,analysis,2,458,5.7250000000000005,178
bottlepy/bottle,feature_dev,3,486,6.075,258
bottlepy/bottle,bug_fix,5,515,6.4375,339
bottlepy/bottle,refactor,5,830,10.375,372
bottlepy/bottle,analysis,1,166,2.075,162
django/django,feature_dev,5,510,6.375,361
django/django,bug_fix,8,1520,19.0,511
django/django,refactor,11,1485,18.5625,622
django/django,analysis,6,1110,13.875000000000002,385
scikit-learn/scikit-learn,feature_dev,5,1200,15.0,371
scikit-learn/scikit-learn,bug_fix,4,836,10.45,315
scikit-learn/scikit-learn,refactor,9,2169,27.1125,545
scikit-learn/scikit-learn,analysis,8,2000,25.0,521
horovod/horovod,feature_dev,5,550,6.875000000000001,328
horovod/horovod,bug_fix,5,755,9.4375,379
horovod/horovod,refactor,5,875,10.9375,360
horovod/horovod,analysis,3,435,5.4375,247
NVIDIA/apex,feature_dev,1,136,1.7000000000000002,169
NVIDIA/apex,bug_fix,7,917,11.4625,475
NVIDIA/apex,refactor,2,492,6.15,197
NVIDIA/apex,analysis,6,1068,13.350000000000001,419
opencv/opencv-python,feature_dev,1,243,3.0375,157
opencv/opencv-python,bug_fix,6,1002,12.525,371
opencv/opencv-python,refactor,4,460,5.75,309
opencv/opencv-python,analysis,1,172,2.15,154
openai/gpt-2,feature_dev,6,918,11.475,385
openai/gpt-2,bug_fix,2,490,6.125,221
openai/gpt-2,refactor,1,217,2.7125,141
openai/gpt-2,analysis,1,117,1.4625000000000001,136
numpy/numpy,feature_dev,17,3298,41.225,934
numpy/numpy,bug_fix,16,2896,36.199999999999996,898
numpy/numpy,refactor,18,3960,49.5,985
numpy/numpy,analysis,22,4796,59.95,1201
pandas-dev/pandas,feature_dev,21,4305,53.8125,1168
pandas-dev/pandas,bug_fix,23,3749,46.862500000000004,1280
pandas-dev/pandas,refactor,26,4472,55.900000000000006,1378
pandas-dev/pandas,analysis,26,3016,37.7,1412
pydantic/pydantic,feature_dev,11,1782,22.275,633
pydantic/pydantic,bug_fix,13,2886,36.075,779
pydantic/pydantic,refactor,10,1470,18.375,625
pydantic/pydantic,analysis,9,1971,24.637500000000003,529
python-attrs/attrs,feature_dev,1,140,1.7500000000000002,173
python-attrs/attrs,bug_fix,5,805,10.0625,342
python-attrs/attrs,refactor,1,104,1.3,167
python-attrs/attrs,analysis,2,406,5.075,191
sqlalchemy/sqlalchemy,feature_dev,6,1266,15.825,370
sqlalchemy/sqlalchemy,bug_fix,10,1200,15.0,600
sqlalchemy/sqlalchemy,refactor,10,1220,15.25,605
sqlalchemy/sqlalchemy,analysis,10,2110,26.375,574
pallets/markupsafe,feature_dev,3,582,7.2749999999999995,242
pallets/markupsafe,bug_fix,2,204,2.55,174
pallets/markupsafe,refactor,1,194,2.4250000000000003,138
